epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16149,3.01463,6.44024,1.36073,0,0,0,0,3.62487,5.78185,1.33832,0,0,0
2,5.56198,2.97098,6.29731,1.4109,0,0,0,0,3.61636,5.78564,1.33368,2.33288e-06,2.33288e-06,2.33288e-06
3,7.74633,2.86426,6.21688,1.37757,0,0,0,0,3.5945,5.78647,1.32694,4.5715e-06,4.5715e-06,4.5715e-06
4,9.73611,3.25874,6.53599,1.41466,0,0,0,0,3.55692,5.78192,1.31647,6.71588e-06,6.71588e-06,6.71588e-06
5,12.9715,2.91962,6.1465,1.37257,0,0,0,0,3.52957,5.78181,1.309,8.76602e-06,8.76602e-06,8.76602e-06
6,15.0597,3.02245,6.20087,1.34767,0,0,0,0,3.50835,5.78394,1.30431,1.07219e-05,1.07219e-05,1.07219e-05
7,17.1208,2.81332,6.1369,1.36963,0,0,0,0,3.50751,5.78273,1.30201,1.25835e-05,1.25835e-05,1.25835e-05
8,18.6383,3.14175,6.51605,1.41122,0,0,0,0,3.383,5.71518,1.25467,1.43509e-05,1.43509e-05,1.43509e-05
9,26.0565,3.38835,5.92745,1.38642,0,0,0,0,3.36452,5.70218,1.24692,1.60241e-05,1.60241e-05,1.60241e-05
10,33.3978,2.96702,5.94873,1.31172,0,0,0,0,3.29812,5.57533,1.2031,1.7603e-05,1.7603e-05,1.7603e-05
11,40.0853,2.85129,5.85743,1.18812,0.0022,0.00095,0.00126,0.00025,3.22788,5.45695,1.16626,1.90876e-05,1.90876e-05,1.90876e-05
12,49.7263,2.98213,5.45494,1.18859,0.00923,0.03948,0.01272,0.00165,3.16153,5.30802,1.1351,2.0478e-05,2.0478e-05,2.0478e-05
13,57.5577,2.50719,4.93867,1.11559,0.01239,0.05775,0.01691,0.00907,3.17338,5.12693,1.1157,2.17741e-05,2.17741e-05,2.17741e-05
14,72.1817,2.37355,4.7601,1.08608,0.0118,0.09273,0.021,0.0116,3.16547,4.99054,1.0943,2.2976e-05,2.2976e-05,2.2976e-05
15,81.3129,2.39842,4.55165,1.05597,0.01051,0.11723,0.02376,0.01261,3.10971,4.80115,1.07789,2.40837e-05,2.40837e-05,2.40837e-05
16,83.8197,2.32096,4.3645,1.1224,0.01019,0.12745,0.031,0.01475,3.06995,4.63206,1.06752,2.50971e-05,2.50971e-05,2.50971e-05
17,87.1421,2.45272,3.90723,1.09113,0.57372,0.06606,0.03686,0.01772,3.05534,4.4709,1.06113,2.60163e-05,2.60163e-05,2.60163e-05
18,89.5906,2.49163,4.05082,1.10166,0.57372,0.06606,0.03686,0.01772,3.05534,4.4709,1.06113,2.68412e-05,2.68412e-05,2.68412e-05
19,94.0308,2.31168,3.83435,1.03805,0.64215,0.05541,0.04864,0.02277,3.03111,4.25736,1.0513,2.75718e-05,2.75718e-05,2.75718e-05
20,97.3665,2.23352,3.48152,1.04816,0.64215,0.05541,0.04864,0.02277,3.03111,4.25736,1.0513,2.82082e-05,2.82082e-05,2.82082e-05
21,102.253,2.4265,3.66772,0.9849,0.61389,0.0832,0.06104,0.02488,2.99238,4.03097,1.04172,2.87504e-05,2.87504e-05,2.87504e-05
22,106.52,2.3989,3.5225,0.98792,0.61389,0.0832,0.06104,0.02488,2.99238,4.03097,1.04172,2.91983e-05,2.91983e-05,2.91983e-05
23,112.384,2.40658,3.4028,1.00813,0.61897,0.0862,0.07381,0.03144,2.97903,3.84982,1.03303,2.9552e-05,2.9552e-05,2.9552e-05
24,115.061,2.35596,3.67109,1.0549,0.61897,0.0862,0.07381,0.03144,2.97903,3.84982,1.03303,2.98114e-05,2.98114e-05,2.98114e-05
25,120.694,2.17465,3.0774,0.95893,0.63615,0.09793,0.07968,0.03393,2.93902,3.67897,1.0245,2.99766e-05,2.99766e-05,2.99766e-05
26,124.112,2.14883,3.01599,0.959,0.63615,0.09793,0.07968,0.03393,2.93902,3.67897,1.0245,3.00475e-05,3.00475e-05,3.00475e-05
27,127.687,2.18137,2.90066,1.03014,0.58856,0.07412,0.08245,0.03619,2.88862,3.51766,1.01441,3.00242e-05,3.00242e-05,3.00242e-05
28,133.919,2.05007,2.59984,0.92592,0.58856,0.07412,0.08245,0.03619,2.88862,3.51766,1.01441,2.99066e-05,2.99066e-05,2.99066e-05
29,137.333,2.06639,2.88564,0.94685,0.5561,0.08495,0.10843,0.04593,2.85917,3.40523,1.00702,2.96948e-05,2.96948e-05,2.96948e-05
30,140.218,2.01505,2.5354,0.94667,0.5561,0.08495,0.10843,0.04593,2.85917,3.40523,1.00702,2.93887e-05,2.93887e-05,2.93887e-05
31,146.731,2.17698,2.812,0.9787,0.58449,0.0956,0.11523,0.04696,2.81281,3.2829,0.99915,2.89884e-05,2.89884e-05,2.89884e-05
